AREA_ID,AREA_NM,ALL_KWRD_RANK_CO,ALL_KWRD_NM,ALL_KWRD_OCCU_RT,ALL_KWRD_CO,PASSNGR_KWRD_RANK_CO,PASSNGR_KWRD_NM,PASSNGR_KWRD_OCCU_RT,PASSNGR_KWRD_CO,LCLS_KWRD_RANK_CO,LCLS_KWRD_NM,LCLS_KWRD_OCCU_RT,LCLS_KWRD_CO
TOT_01,전국,1,바다,4.10,2506,1,바다,5.40,1623,1,공원,3.10,976
TOT_02,전국,2,먹거리,3.10,1884,2,해변,3.40,1019,2,먹거리,2.90,910
TOT_03,전국,3,공원,2.50,1556,3,먹거리,3.20,974,3,바다,2.80,883
TOT_04,전국,4,해변,2.50,1555,4,힐링,2.30,694,4,축제,2.80,866
TOT_05,전국,5,축제,2.00,1221,5,해산물,2.30,678,5,맛집,1.90,598
TOT_06,전국,6,해산물,2.00,1216,6,카페,2.20,653,6,해산물,1.70,538
TOT_07,전국,7,카페,1.90,1158,7,공원,1.90,580,7,해변,1.70,536
TOT_08,전국,8,맛집,1.70,1062,8,산,1.80,551,8,한우,1.70,523
TOT_09,전국,9,산,1.70,1061,9,호텔,1.80,541,9,산,1.60,510
TOT_10,전국,10,힐링,1.70,1020,10,계곡,1.70,503,10,카페,1.60,505
TOT_11,전국,11,호텔,1.70,1016,11,회,1.70,497,11,호텔,1.50,475
TOT_12,전국,12,계곡,1.50,923,12,펜션,1.60,468,12,시장,1.50,463
TOT_13,전국,13,한우,1.50,919,13,맛집,1.50,464,13,계곡,1.30,420
TOT_14,전국,14,회,1.50,907,14,한우,1.30,396,14,회,1.30,410
TOT_15,전국,15,펜션,1.40,871,15,시장,1.30,389,15,펜션,1.30,403
TOT_16,전국,16,시장,1.40,852,16,산책,1.30,383,16,재래시장,1.20,385
TOT_17,전국,17,캠핑,1.20,727,17,캠핑,1.20,362,17,캠핑,1.20,365
TOT_18,전국,18,재래시장,1.20,722,18,축제,1.20,355,18,힐링,1.00,326
TOT_19,전국,19,산책,1.10,674,19,자연경관,1.20,350,19,등산,1.00,325
